id,circle_id,arpu_6,arpu_7,arpu_8,aon,total_rech_num_6,total_rech_num_7,total_rech_num_8,max_rech_amt_8,total_og_mou_8,total_ic_mou_8,vol_2g_mb_8,arpu_2g_8,arpu_3g_8,churn_probability
0,109,31.277,87.009,7.527,1958,3,2,2,10,3.63,40.56,0.0,9.09,0.84,0
1,109,0.0,122.787,42.953,710,3,4,5,50,31.66,25.04,0.0,9.09,0.84,0
2,109,60.806,103.176,0.0,882,2,4,2,0,0.0,36.64,0.0,9.09,0.84,0
3,109,156.362,205.26,111.095,982,2,4,3,50,53.84,83.84,0.0,9.09,0.84,0
4,109,240.708,128.191,101.565,647,13,10,8,30,15.76,28.31,213.47,0.0,0.0,0
5,109,86.193,83.351,88.462,698,9,8,10,30,3.89,209.43,0.0,9.09,0.84,0
6,109,54.173,95.13,6.386,1083,3,2,3,130,25.31,134.56,0.0,9.09,0.84,0
7,109,167.861,167.869,167.866,584,2,3,2,198,0.0,43.83,5.4,0.0,0.0,0
8,109,163.55,90.25,51.726,2455,2,3,1,150,0.0,0.0,0.0,9.09,0.84,1
9,109,101.984,259.265,65.686,2530,4,3,2,149,138.93,280.89,0.0,9.09,0.84,0
10,109,445.826,18.31,24.69,468,8,3,1,0,3.14,17.31,0.0,9.09,0.84,0
11,109,292.724,228.753,418.233,648,10,6,8,130,270.53,281.98,0.0,9.09,0.84,0
12,109,439.919,397.946,392.024,322,15,10,20,50,687.41,26.99,0.0,9.09,0.84,0
13,109,166.918,140.685,119.412,2613,6,8,6,33,80.78,935.31,0.0,9.09,0.84,0
14,109,340.266,205.397,191.78,1049,7,3,2,150,227.41,369.53,0.0,9.09,0.84,0
15,109,580.549,377.294,338.286,602,5,3,4,250,391.53,629.94,354.35,28.8,0.0,0
16,109,125.302,252.014,208.013,1103,3,6,4,200,57.06,17.11,0.0,9.09,0.84,0
17,109,76.158,70.611,24.9,1297,3,3,4,0,14.49,65.86,0.0,9.09,0.84,0
18,109,69.158,63.943,44.015,504,4,6,6,20,26.56,35.29,0.0,9.09,0.84,0
19,109,164.004,31.988,102.13,673,12,6,12,36,142.88,24.79,0.0,9.09,0.84,0
20,109,120.584,226.53,189.898,2405,3,4,2,149,185.89,70.49,0.0,9.09,0.84,0
21,109,249.12,177.008,131.696,1511,3,4,1,144,190.18,482.14,0.0,9.09,0.84,0
22,109,277.458,283.346,231.755,2837,6,5,3,279,436.23,565.38,0.0,9.09,0.84,0
23,109,1130.948,905.506,479.762,455,26,19,10,144,387.81,203.29,0.0,9.09,0.84,0
24,109,371.974,352.069,240.449,1219,7,7,10,30,251.89,192.94,0.0,0.0,0.0,0
25,109,362.951,321.763,689.603,2831,8,5,11,130,754.16,454.91,0.0,9.09,0.84,0
26,109,0.0,36.344,104.57,1276,1,3,11,30,88.58,10.89,0.0,9.09,0.84,0
27,109,390.489,350.985,421.3,573,13,8,4,164,195.51,350.86,10.54,161.92,161.92,0
28,109,80.99,54.148,34.116,232,0,3,3,130,70.99,72.58,0.0,9.09,0.84,0
29,109,295.961,118.323,372.905,3038,4,2,3,215,607.56,353.23,0.0,9.09,0.84,0
30,109,24.528,19.098,137.265,327,7,4,6,50,125.53,40.38,0.0,9.09,0.84,0
31,109,894.407,126.5,255.7,303,1,0,0,0,0.0,0.0,0.0,9.09,0.84,1
32,109,218.981,61.026,7.887,517,10,4,1,10,6.43,29.31,0.0,9.09,0.84,0
33,109,438.077,0.0,213.781,457,1,3,2,252,2.68,0.0,0.0,212.17,212.17,1
34,109,70.91,213.01,78.922,1389,9,21,4,30,38.09,140.93,0.0,9.09,0.84,0
35,109,131.003,98.161,77.67,399,13,5,7,30,68.86,176.33,0.0,9.09,0.84,0
36,109,212.983,52.258,125.152,207,23,5,13,20,87.78,509.98,0.0,9.09,0.84,0
37,109,383.327,-5.0,0.0,482,6,2,1,0,0.0,0.0,0.0,9.09,0.84,0
38,109,167.752,0.75,0.0,641,11,3,2,0,0.0,0.0,0.0,9.09,0.84,0
39,109,348.187,630.031,974.914,622,4,14,16,252,1124.26,310.29,1476.89,250.42,212.17,0
40,109,17.544,90.74,156.321,771,6,14,17,20,137.93,25.66,0.0,9.09,0.84,0
41,109,53.997,131.395,0.0,194,2,10,3,0,0.0,0.0,0.0,9.09,0.84,1
42,109,164.516,228.219,386.675,400,6,6,7,150,185.28,175.14,0.0,9.09,0.84,0
43,109,318.563,275.735,442.778,263,11,10,7,252,444.13,108.23,50.19,212.17,212.29,0
44,109,104.049,292.292,294.435,506,6,17,15,50,430.34,26.59,0.0,9.09,0.84,0
45,109,1361.775,1658.481,1317.325,942,24,29,14,250,1307.86,379.78,12.59,35.1,136.16,0
46,109,120.821,116.461,58.126,2307,3,5,4,130,79.13,86.29,0.0,9.09,0.84,0
47,109,158.158,131.765,162.658,407,8,9,7,50,148.34,184.86,0.0,9.09,0.84,0
48,109,146.234,420.46,251.531,2754,7,7,3,152,78.11,165.89,140.26,64.46,75.6,0
49,109,396.336,681.418,556.464,255,24,50,25,130,1148.54,48.83,0.0,9.09,0.84,0
50,109,229.878,185.442,199.131,2826,7,9,6,65,251.89,174.26,0.0,9.09,0.84,0
51,109,324.8,442.005,376.67,2452,4,11,1,0,268.96,227.08,0.0,9.09,0.84,0
52,109,511.711,395.991,432.337,826,10,11,11,169,898.54,193.99,0.0,9.09,0.84,0
53,109,687.93,890.334,690.679,1194,9,13,7,198,562.23,490.34,9.43,0.0,0.01,0
54,109,161.149,30.278,8.713,730,16,3,3,10,0.55,0.45,0.0,9.09,0.84,0
55,109,86.986,120.089,105.035,789,4,7,5,30,36.16,39.64,0.0,9.09,0.84,1
56,109,199.166,75.451,263.694,862,13,7,20,37,23.06,506.86,0.0,9.09,0.84,0
57,109,420.095,479.535,332.43,226,20,33,16,130,288.89,80.44,0.22,34.51,22.03,0
58,109,422.791,333.628,288.409,1582,13,11,11,150,54.58,43.03,0.0,9.09,0.84,0
59,109,0.0,213.793,0.0,224,3,4,2,0,0.0,0.0,0.0,9.09,0.84,1
60,109,158.863,52.976,58.209,2067,5,3,3,110,71.54,25.98,4.97,0.0,0.01,0
61,109,255.662,65.8,310.201,377,5,1,6,130,666.79,244.29,0.0,9.09,0.84,0
62,109,236.005,218.657,319.469,2354,2,8,8,67,162.21,301.31,0.0,9.09,0.84,0
63,109,241.317,142.114,185.145,317,16,9,11,30,64.79,52.68,27.13,0.0,7.31,0
64,109,158.159,80.781,5.735,306,6,3,5,30,0.0,0.0,0.0,9.09,0.84,1
65,109,178.792,237.016,204.563,1938,4,3,1,154,65.09,101.39,24.55,0.0,2.25,0
66,109,6.7,61.58,60.0,622,4,2,3,200,7.78,5.53,0.0,9.09,0.84,0
67,109,179.717,132.321,214.278,448,3,6,4,130,468.68,486.38,0.0,9.09,0.84,0
68,109,693.378,434.528,0.25,342,20,11,2,0,0.0,0.0,0.0,9.09,0.84,0
69,109,233.34,215.734,243.184,3065,2,4,1,250,198.23,165.61,0.0,9.09,0.84,0
70,109,34.919,85.357,49.879,2090,4,4,2,30,47.78,243.36,0.0,9.09,0.84,0
71,109,46.331,103.133,104.188,492,9,8,7,27,52.53,6.38,0.0,9.09,0.84,0
72,109,86.368,54.701,8.72,2194,3,3,2,0,8.56,73.69,0.0,9.09,0.84,0
73,109,252.14,153.21,213.98,564,2,4,1,200,162.44,523.19,0.0,9.09,0.84,0
74,109,156.101,321.727,602.819,2382,6,8,5,252,73.83,241.49,83.79,483.34,455.0,0
75,109,1032.062,483.59,640.408,718,12,11,6,130,1095.91,26.59,0.0,9.09,0.84,0
76,109,621.879,3.0,0.0,487,12,0,2,0,0.0,0.0,0.0,9.09,0.84,1
77,109,242.224,3.736,0.0,293,7,5,1,0,0.0,0.0,0.0,9.09,0.84,0
78,109,1677.059,639.889,695.511,965,43,18,16,65,1299.71,198.51,0.0,9.09,0.84,0
79,109,900.286,1062.752,738.114,401,14,12,6,169,1831.81,73.58,0.0,9.09,0.84,0
80,109,384.18,500.546,485.113,3148,14,24,22,30,326.03,83.34,41.1,10.96,55.51,0
81,109,475.926,507.195,540.243,1530,6,8,5,169,1090.58,206.33,0.0,9.09,0.84,0
82,109,115.332,107.064,106.832,1053,5,8,9,30,122.66,92.81,0.0,9.09,0.84,0
83,109,308.418,358.26,540.376,1034,6,7,8,144,943.68,751.26,0.0,9.09,0.84,0
84,109,637.8,480.074,0.0,356,11,18,4,0,0.0,0.0,0.0,9.09,0.84,1
85,109,114.801,143.495,98.34,3018,4,5,1,0,94.29,326.78,0.0,9.09,0.84,0
86,109,311.894,335.474,265.052,406,6,6,4,130,150.24,47.03,288.61,67.58,0.0,0
87,109,70.182,136.782,75.239,383,3,9,4,30,61.63,258.66,0.0,9.09,0.84,0
88,109,546.431,567.346,697.272,4193,6,6,5,202,329.71,318.38,215.53,85.01,85.01,0
89,109,496.238,733.268,930.993,2508,14,15,22,100,986.79,512.41,298.9,50.9,63.16,0
90,109,80.656,281.787,230.631,1355,2,10,7,128,435.64,28.56,0.0,0.0,0.0,0
91,109,0.0,97.233,127.019,212,1,6,9,30,231.31,13.96,0.0,9.09,0.84,0
92,109,87.754,146.398,233.721,381,10,13,26,20,504.53,18.06,0.0,9.09,0.84,0
93,109,459.846,717.302,761.883,280,28,41,26,130,1752.01,184.64,0.0,9.09,0.84,0
94,109,181.005,53.058,44.172,604,8,5,8,25,0.43,56.16,5.59,0.0,0.03,0
95,109,0.0,46.77,187.134,3234,0,1,2,250,205.13,298.09,0.0,9.09,0.84,0
96,109,589.222,460.0,447.251,943,7,2,6,550,620.43,231.74,0.0,0.0,0.0,0
97,109,364.754,274.391,121.023,1145,6,4,4,50,117.71,152.06,0.0,9.09,0.84,0
98,109,1000.715,201.346,173.422,382,14,3,4,130,235.26,88.53,0.0,9.09,0.84,0
99,109,206.568,75.258,84.197,2372,3,2,5,50,148.63,390.74,0.0,9.09,0.84,0
100,109,206.949,781.997,608.771,213,18,44,42,30,1049.14,76.01,0.0,9.09,0.84,0
101,109,0.0,261.5,0.0,200,4,5,5,0,0.0,0.0,0.0,9.09,0.84,0
102,109,146.728,10.292,39.716,366,6,4,4,19,23.73,17.31,0.0,9.09,0.84,0
103,109,230.565,162.975,59.217,2648,4,2,2,130,46.01,55.11,4.22,35.0,35.0,1
104,109,343.817,332.959,49.562,1734,17,23,3,30,42.16,173.84,0.0,9.09,0.84,0
105,109,344.094,432.602,589.579,2449,5,9,7,130,404.23,303.79,9.46,67.3,49.0,0
106,109,545.683,115.374,53.377,1706,10,4,7,114,74.03,8.98,0.0,9.09,0.84,0
107,109,49.24,46.687,40.961,2598,1,4,3,50,41.13,229.84,0.0,9.09,0.84,0
108,109,70.73,218.18,134.788,557,6,12,7,30,103.36,64.33,0.0,9.09,0.84,0
109,109,43.59,57.47,23.79,825,3,4,1,0,0.46,0.36,0.0,9.09,0.84,0
110,109,507.263,496.611,516.55,629,7,9,6,110,558.93,191.79,0.0,9.09,0.84,0
111,109,141.701,111.189,282.482,195,14,12,25,50,248.58,438.54,2.24,0.5,0.7,1
112,109,274.536,498.516,632.524,1002,11,16,21,50,1247.79,92.28,0.0,9.09,0.84,0
113,109,191.294,128.402,8.197,570,7,7,4,10,0.0,0.0,0.0,9.09,0.84,0
114,109,510.393,272.85,283.833,3164,4,4,3,252,56.98,53.53,18.29,212.17,235.21,0
115,109,554.907,204.238,207.556,2949,2,1,0,0,334.79,465.64,0.0,9.09,0.84,0
116,109,161.374,25.515,82.945,564,6,1,3,36,48.41,55.48,0.0,9.09,0.84,0
117,109,552.478,548.29,418.924,2568,5,8,3,250,238.91,257.64,0.0,9.09,0.84,0
118,109,219.956,0.0,305.372,1036,10,5,11,36,321.14,10.53,0.0,9.09,0.84,0
119,109,46.974,127.346,253.935,373,2,4,11,50,167.64,389.96,0.0,9.09,0.84,0
120,109,130.43,130.436,130.447,2510,2,1,2,154,0.0,29.84,572.49,0.01,0.0,0
121,109,87.65,464.673,446.922,787,3,22,20,50,640.36,40.49,0.0,9.09,0.84,0
122,109,624.188,488.305,688.968,2405,7,5,4,350,822.76,167.89,0.0,9.09,0.84,0
123,109,288.165,255.829,291.248,322,8,8,8,50,551.78,0.39,0.0,9.09,0.84,0
124,109,94.531,99.855,92.591,763,6,6,4,50,93.53,51.24,0.0,9.09,0.84,0
125,109,1173.256,563.502,990.443,2954,6,5,7,750,1192.16,1579.76,11.37,150.67,219.47,0
126,109,1306.501,843.37,593.401,1178,15,9,12,149,1551.09,219.48,0.0,0.0,0.0,0
127,109,169.857,146.435,68.56,2477,3,4,0,0,54.81,14.19,0.0,9.09,0.84,0
128,109,564.847,235.306,305.877,2449,8,4,3,130,225.68,249.69,0.0,41.82,97.74,0
129,109,651.419,629.425,642.535,1869,20,19,16,239,249.06,258.18,5.2,0.0,160.15,0
130,109,163.522,101.959,4.783,1069,5,5,3,30,2.71,0.0,0.0,9.09,0.84,0
131,109,199.547,162.96,102.52,510,5,7,4,50,102.96,18.41,0.0,9.09,0.84,1
132,109,492.659,704.928,756.697,1468,11,9,9,150,401.38,89.71,0.0,9.09,0.84,0
133,109,90.28,208.092,125.576,2372,2,5,4,100,130.39,30.41,0.0,9.09,0.84,0
134,109,46.952,100.585,134.285,872,4,7,4,110,20.14,82.39,0.0,9.09,0.84,0
135,109,0.0,482.035,718.352,614,1,26,40,50,768.86,69.14,0.0,18.94,45.26,0
136,109,477.198,1.5,255.408,317,6,0,13,50,494.29,89.09,0.0,9.09,0.84,0
137,109,153.016,141.63,146.408,398,15,15,11,46,0.0,3.33,774.73,40.32,40.31,0
138,109,1.49,216.837,4.2,2746,1,5,0,0,0.79,1.96,0.0,9.09,0.84,0
139,109,339.089,240.063,113.611,207,22,15,9,30,81.28,30.68,197.79,4.3,0.0,1
140,109,293.229,363.408,244.116,1330,11,10,6,100,175.79,2323.19,0.0,9.09,0.84,0
141,109,219.868,301.117,185.018,2923,4,7,9,144,292.59,744.28,0.0,9.09,0.84,0
142,109,226.876,358.208,176.563,1328,6,6,4,130,107.01,168.41,18.91,0.0,0.0,0
143,109,298.65,352.24,538.21,968,2,3,2,330,452.26,392.91,0.0,9.09,0.84,0
144,109,65.678,302.772,240.495,2524,3,6,4,154,134.04,148.93,0.71,0.0,-0.18,0
145,109,284.634,68.71,1.0,562,6,3,0,0,0.0,0.0,0.0,9.09,0.84,1
146,109,255.682,109.124,72.752,952,16,9,8,30,51.66,47.54,0.0,9.09,0.84,0
147,109,3.743,127.81,204.28,446,3,5,7,130,477.54,60.83,0.0,9.09,0.84,0
148,109,246.574,377.534,614.704,731,7,5,4,250,633.09,348.59,0.0,9.09,0.84,0
149,109,353.013,209.037,215.894,467,33,14,8,154,16.21,530.51,25.77,0.0,0.02,0
150,109,3.71,117.33,143.192,2617,7,9,9,30,108.84,491.28,0.0,9.09,0.84,0
151,109,1679.936,1303.494,1139.599,4321,12,8,5,252,493.83,462.14,1.36,424.34,421.25,0
152,109,52.292,84.755,15.97,787,3,6,3,0,17.09,0.43,0.0,9.09,0.84,0
153,109,0.0,294.85,302.74,801,2,9,7,150,490.98,121.71,0.0,9.09,0.84,0
154,109,114.97,241.1,219.011,764,4,5,6,130,315.44,116.98,0.0,9.09,0.84,0
155,109,141.169,166.695,190.957,924,13,8,10,33,165.08,184.96,0.0,9.09,0.84,0
156,109,370.39,346.633,511.836,569,7,6,11,100,151.68,35.83,0.0,0.0,0.0,0
157,109,690.112,376.228,627.839,1233,10,4,6,250,933.86,421.94,356.62,6.6,0.0,0
158,109,184.928,193.711,83.167,1725,5,6,3,0,6.03,43.69,476.77,0.0,0.0,0
159,109,337.789,337.848,258.099,208,13,8,8,86,267.33,208.44,0.0,9.09,0.84,0
160,109,752.423,488.008,643.704,396,25,24,25,44,1086.99,350.24,622.63,3.41,0.0,0
161,109,327.03,69.57,137.506,470,3,1,2,150,50.61,34.44,0.0,9.09,0.84,0
162,109,503.988,607.868,537.035,1695,18,12,17,130,483.54,182.78,0.0,9.09,0.84,0
163,109,297.939,127.498,133.733,454,12,7,7,44,91.98,35.58,0.0,9.09,0.84,0
164,109,142.048,96.322,24.0,723,3,5,0,0,22.79,45.79,0.0,9.09,0.84,0
